City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Yellowknife,CA,62.46,-114.35,24.01,67,75,5.82,broken clouds
84,Grafton,US,42.21,-71.69,55.0,66,20,10.29,few clouds
85,Mao,ES,39.89,4.27,64.4,72,0,14.99,clear sky
86,George,ZA,-33.96,22.46,62.6,100,2,8.05,light rain
87,Esperance,AU,-33.87,121.9,60.8,63,0,16.11,clear sky
88,Iqaluit,CA,63.75,-68.51,26.6,79,75,4.7,light snow
89,Bom Jardim,BR,-7.8,-35.59,70.48,91,37,3.83,scattered clouds
90,Kargasok,RU,59.06,80.86,18.72,95,90,8.14,overcast clouds
91,Tuktoyaktuk,CA,69.45,-133.04,23.0,85,75,9.17,broken clouds
92,Alice Springs,AU,-23.7,133.88,68.0,30,0,13.87,clear sky
93,Samarai,PG,-10.62,150.67,81.75,78,51,4.03,light rain
94,Fagernes,NO,60.99,9.23,36.0,98,100,8.99,light rain
95,Nemuro,JP,43.32,145.57,51.8,57,20,16.11,few clouds
96,Nanortalik,GL,60.14,-45.24,32.72,89,100,5.08,overcast clouds
97,Nushki,PK,29.55,66.02,42.42,63,0,1.45,clear sky
98,Qaanaaq,GL,77.48,-69.36,17.04,91,100,12.39,overcast clouds
99,Alyangula,AU,-13.85,136.42,87.8,62,2,6.93,clear sky
100,Kintinku,TZ,-5.88,35.23,69.8,77,0,18.34,clear sky
101,Cidreira,BR,-30.18,-50.21,68.49,92,4,15.35,clear sky
102,Trelew,AR,-43.25,-65.31,60.37,56,21,13.53,few clouds
103,Ratnagiri,IN,16.98,73.3,76.06,87,3,6.11,clear sky
104,Lagos,NG,6.58,3.75,77.2,90,66,4.59,broken clouds
105,Tura,IN,25.52,90.22,71.49,98,45,4.27,moderate rain
106,Sabang,ID,5.89,95.32,76.82,88,100,13.71,moderate rain
107,Alugan,PH,12.22,125.48,78.17,90,100,13.47,heavy intensity rain
108,Butaritari,KI,3.07,172.79,81.01,70,67,8.7,broken clouds
109,Barra Do Garcas,BR,-15.89,-52.26,74.66,83,98,2.82,overcast clouds
110,Hofn,IS,64.25,-15.21,44.08,81,90,19.28,overcast clouds
111,Kreminna,UA,49.05,38.22,54.37,67,100,8.93,overcast clouds
112,Chapais,CA,49.78,-74.85,26.6,73,90,11.41,light snow
113,Bongandanga,CD,1.5,21.05,69.67,99,100,2.59,overcast clouds
114,Severo-Kurilsk,RU,50.68,156.12,47.23,93,100,11.23,light rain
115,Lebu,CL,-37.62,-73.65,49.12,81,0,4.59,clear sky
116,Bayir,TR,37.27,28.22,55.4,87,0,1.12,clear sky
117,Westport,US,41.14,-73.36,54.0,79,52,12.08,broken clouds
118,Constitucion,CL,-35.33,-72.42,53.28,86,100,8.46,moderate rain
119,Alta Floresta,BR,-9.88,-56.09,70.57,97,100,2.84,heavy intensity rain
120,Walla Walla,US,46.06,-118.34,39.2,55,90,11.41,overcast clouds
121,Puerto Ayora,EC,-0.74,-90.35,66.99,97,100,5.99,overcast clouds
122,Saldanha,ZA,-33.01,17.94,62.6,72,0,4.7,clear sky
123,Lazaro Cardenas,MX,17.96,-102.2,81.59,89,1,6.4,clear sky
124,Qaqortoq,GL,60.72,-46.03,26.6,68,100,1.12,overcast clouds
125,Lubbenau,DE,51.87,13.97,50.0,93,0,7.07,clear sky
126,Victoria,HK,22.29,114.16,75.0,64,100,1.01,overcast clouds
127,Podporozhye,RU,60.91,34.17,34.68,89,68,4.76,broken clouds
128,Lorengau,PG,-2.02,147.27,86.18,59,67,6.67,broken clouds
129,Tevaitoa,PF,-16.78,-151.5,79.95,74,100,9.62,light rain
130,Muroto,JP,33.28,134.15,59.0,62,20,5.82,few clouds
131,Haines Junction,CA,60.75,-137.51,26.69,76,100,1.25,overcast clouds
132,East London,ZA,-33.02,27.91,68.79,88,4,3.47,clear sky
133,Baikunthpur,IN,23.25,82.55,65.88,58,0,1.32,clear sky
134,Dogondoutchi,NE,13.64,4.03,83.25,18,58,6.98,broken clouds
135,Kidal,ML,18.44,1.41,77.77,16,0,9.98,clear sky
136,Todos Santos,MX,23.45,-110.22,79.0,83,0,4.0,clear sky
137,Mar Del Plata,AR,-38.0,-57.56,61.0,100,90,5.82,overcast clouds
138,Dzhebariki-Khaya,RU,62.22,135.8,16.23,90,0,2.51,clear sky
139,Mumbwa,ZM,-14.98,27.06,68.11,33,70,4.79,broken clouds
140,Road Town,VG,18.42,-64.62,82.99,83,95,17.0,overcast clouds
141,Makakilo City,US,21.35,-158.09,86.0,70,1,6.93,clear sky
142,Dikson,RU,73.51,80.55,21.97,92,46,4.38,scattered clouds
143,Sao Joao Da Barra,BR,-21.64,-41.05,72.14,93,100,16.78,light rain
144,Takaka,NZ,-40.85,172.8,61.0,93,95,13.0,overcast clouds
145,Zabol,AF,32.25,67.25,35.4,78,0,4.25,clear sky
146,Chokurdakh,RU,70.63,147.92,14.41,97,45,7.54,scattered clouds
147,Faanui,PF,-16.48,-151.75,79.25,77,94,11.83,moderate rain
148,Tucurui,BR,-3.77,-49.67,80.64,61,14,2.68,few clouds
149,Sola,VU,-13.88,167.55,87.8,74,75,5.82,broken clouds
150,Ahipara,NZ,-35.17,173.17,68.94,63,45,5.97,scattered clouds
151,Iranshahr,IR,27.2,60.68,60.8,21,0,4.7,clear sky
152,Blackwater,AU,-23.58,148.88,83.32,52,75,11.45,light rain
