City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Gizo,SB,84.51,moderate rain,-8.1,156.84,Imagination Island
285,Am Timan,TD,77.72,overcast clouds,11.03,20.28,Palais du chef Canton Salamt
289,Port-Gentil,GA,78.31,overcast clouds,-0.72,8.78,Fengshui Residence
293,Nicoya,CR,78.8,broken clouds,10.15,-85.45,Guayacan Real
296,Banda Aceh,ID,76.77,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
304,Caravelas,BR,76.05,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
305,Pemba,MZ,75.2,few clouds,-12.97,40.52,Guesthouse Samotina
312,San-Pedro,CI,76.5,clear sky,4.75,-6.64,Hotel Maria
316,Bonthe,SL,77.43,light rain,7.53,-12.51,Bonthe Holiday Village
317,Saint George,US,75.2,broken clouds,37.1,-113.58,Best Western Plus Abbey Inn
320,Hurricane,US,75.2,scattered clouds,37.18,-113.29,Super 8 by Wyndham Hurricane Zion National Park
321,Gondanglegi,ID,84.83,broken clouds,-7.75,112.01,Gg. Munasir Homestay
328,Cabedelo,BR,77.0,broken clouds,-6.98,-34.83,Lua Mansa Pousada
337,Drexel Heights,US,86.0,clear sky,32.14,-111.03,Rincon Country West RV Resort
338,Sinazongwe,ZM,77.43,clear sky,-17.26,27.46,Lakeview Lodge
342,Auki,SB,85.71,light rain,-8.77,160.7,Auki Motel
347,Vanimo,PG,83.77,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
349,Jeremie,HT,80.87,overcast clouds,18.65,-74.12,Auberge’Inn
352,Carutapera,BR,77.32,clear sky,-1.2,-46.02,Lidera
366,Kavaratti,IN,81.66,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
369,Amalapuram,IN,80.6,haze,16.58,82.02,swayamprabha service apartments
372,Cayenne,GF,82.4,few clouds,4.93,-52.33,Hôtel Le Dronmi
384,Kilindoni,TZ,78.84,scattered clouds,-7.91,39.67,Bustani B&B
386,Kupang,ID,89.6,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
391,Puri,IN,77.0,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
393,Takoradi,GH,76.98,scattered clouds,4.88,-1.76,Raybow International Hotel
394,Tamandare,BR,76.98,few clouds,-8.76,-35.1,Pousada 100 Passos
397,Gat,IL,78.8,broken clouds,31.61,34.76,OlusHome
420,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
426,Yenagoa,NG,75.61,overcast clouds,4.92,6.26,Amba Hotels Limited
431,Waingapu,ID,85.93,overcast clouds,-9.66,120.26,Pondok Wisata Elim
433,Katherine,AU,89.6,overcast clouds,-14.47,132.27,Pine Tree Motel
438,Dwarka,IN,81.3,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
440,Podor,MR,86.0,clear sky,16.65,-14.96,La cour du fleuve
442,Humaita,BR,76.57,moderate rain,-7.51,-63.02,Corrêa Hotel
446,Porbandar,IN,80.47,broken clouds,21.64,69.61,Lords Inn Porbandar
447,La Romana,DO,78.8,few clouds,18.43,-68.97,Casa de Campo Resort and Villas
448,Bignona,SN,80.6,clear sky,12.81,-16.23,Hôtel Palmier
452,Coffs Harbour,AU,79.0,broken clouds,-30.3,153.13,Aquajet Motel
455,Lucea,JM,75.2,shower rain,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
